AnoParalisacao,DataParalisacao,TipoEnte,Ente,Nome,FuncaoGoverno,NumeroContrato,CNPJContratada,NomeContratada,TipoUnidade,ValorTotalContrato,ValorPagoObra,TempoParalizacao,MotivoParalisacao,DataInicioObra,StatusContrato,ClassificacaoObra,FontePrincipalRecursos,TipoParalisacao,DataUltimaAtualizacao,fonte
2019,2019-06-01T00:00:00.000,Municipal,VALENCA,PREFEITURA VALENÇA,EDUCAÇÃO,479/2018,25103905000118,PREMIUM COMÉRCIO CORPORATIVO E SERVIÇOS EIRELI ME,PREFEITURA,139023.76,94972.62,ACIMA DE 2 ANOS,QUESTÕES TÉCNICAS QUE VIERAM A SER CONHECIDAS SOMENTE APÓS A LICITAÇÃO,2018-09-01T00:00:00.000,VIGENTE,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-02-01T00:00:00.000,Municipal,CONCEICAO DE MACABU,FUNDO MUN SAÚDE CONCEIÇÃO DE MACABU,SAÚDE,275/2015,04107614000128,REDITUM SERVIÇOS LTDA-ME,FUNDO,378377.92,342942.58,ACIMA DE 2 ANOS,"OUTRO, FATORES VINCULADOS À CONTRATADA",2016-02-01T00:00:00.000,VIGENTE,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,TRES RIOS,PREFEITURA TRES RIOS,URBANISMO,043/2018,09513415000133,ZAQUIEU ARQUITETURA E CONSTRUÇÃO LTDA,PREFEITURA,255481.57,0.01,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2019-03-01T00:00:00.000,PRAZO EXPIRADO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-05-01T00:00:00.000,Municipal,QUEIMADOS,PREFEITURA QUEIMADOS,HABITAÇÃO,95/11,10547330000155,Hydra Engenharia e Saneamento,PREFEITURA,3746919.28,1793461.68,ACIMA DE 2 ANOS,"REPASSE DE CONVÊNIOS - BLOQUEIO, OUTRO",2011-01-01T00:00:00.000,VIGENTE,HABITAÇÃO,CONVÊNIO FEDERAL,ORDEM DE PARALISAÇÃO NÃO LOCALIZADA,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-02-01T00:00:00.000,Municipal,ANGRA DOS REIS,PREFEITURA ANGRA DOS REIS,URBANISMO,124/2018,31643851000267,Valle Sul Construtora e Mineradora Ltda,PREFEITURA,929714.57,306574.16,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-12-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-08-01T00:00:00.000,Municipal,BELFORD ROXO,FUNDO HON. PROCURADORIA G. BELFORD ROXO,ADMINISTRAÇÃO,09/002/18,26111887000189,"RSM MATERIAIS, SERVIÇOS E CONSTRUÇÕES EIRELI",FUNDO,914056.22,751009.36,ACIMA DE 2 ANOS,OUTRO,2018-12-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-06-01T00:00:00.000,Municipal,ARMACAO DOS BUZIOS,PREFEITURA ARMAÇÃO DOS BÚZIOS,EDUCAÇÃO,044/2019,03638457000114,ÔNIX SERVIÇOS LTDA EPP,PREFEITURA,1718001.5,1.0,ACIMA DE 2 ANOS,QUESTÕES TÉCNICAS QUE VIERAM A SER CONHECIDAS SOMENTE APÓS A LICITAÇÃO,2019-05-01T00:00:00.000,PRAZO EXPIRADO,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-04-01T00:00:00.000,Municipal,CABO FRIO,PREFEITURA CABO FRIO,HABITAÇÃO,20/2018,68805316000194,VIVART CONSTRUÇÕES EIRELI - ME,PREFEITURA,1182029.44,274518.86,ACIMA DE 2 ANOS,OUTRO,2018-05-01T00:00:00.000,VIGENTE,"HABITAÇÃO, INFRAESTRUTURA URBANA – URBANIZAÇÃO",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,CASIMIRO DE ABREU,PREFEITURA CASIMIRO DE ABREU,URBANISMO,036/2016,17124882000108,I. SERVICE COMERCIAL LTDA,PREFEITURA,16836902.71,14344004.78,ACIMA DE 2 ANOS,OUTRO,2016-05-01T00:00:00.000,VIGENTE,"ESGOTAMENTO SANITÁRIO – REDE COLETORA, ESTAÇÕES DE TRATAMENTO E SIMILARES, REDE DE DRENAGEM DE ÁGUAS PLUVIAIS",CONTRATO DE FINANCIAMENTO,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-04-01T00:00:00.000,Municipal,ITALVA,PREFEITURA ITALVA,EDUCAÇÃO,001/2015,03395497000182,TARDIVO COMÉRCIO E SERVIÇOS LTDA ME,PREFEITURA,182286.23,115535.98,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2015-01-01T00:00:00.000,RESCINDIDO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-05-01T00:00:00.000,Municipal,ITALVA,PREFEITURA ITALVA,EDUCAÇÃO,023/2018,07813183000103,MCR MANUTENÇÃO CONSTRUÇÃO E REFORMA EIRELLI,PREFEITURA,1452413.18,141904.27,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2018-07-01T00:00:00.000,PRAZO EXPIRADO,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-06-01T00:00:00.000,Municipal,ITALVA,PREFEITURA ITALVA,EDUCAÇÃO,001/2019,07956668000156,MARCO A S TEIXEIRA ENGENHARIA ME,PREFEITURA,501258.84,65813.69,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2019-02-01T00:00:00.000,RESCINDIDO,EDUCAÇÃO – QUADRAS EM UNIDADES DE ENSINO,CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-02-01T00:00:00.000,Municipal,VOLTA REDONDA,PREFEITURA VOLTA REDONDA,SAÚDE,032/2018,25103905000118,Premium Comércio Corporativo e Serviços Eireli ME,PREFEITURA,85658.0,15021.73,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-10-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-01-31T00:00:00.000,Municipal,SILVA JARDIM,PREFEITURA SILVA JARDIM,TRANSPORTE,08.02.001,29416658000160,KF ENGENHARIA,PREFEITURA,861657.99,0.01,ACIMA DE 2 ANOS,FATORES VINCULADOS À CONTRATADA,2018-08-01T00:00:00.000,RESCINDIDO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-12-01T00:00:00.000,Municipal,CAMPOS DOS GOYTACAZES,PREFEITURA CAMPOS DOS GOYTACAZES,SANEAMENTO,142/2019,29632940000185,SERVEN - Serviços de Engenharia Ltda.,PREFEITURA,322459.22,0.01,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2019-11-01T00:00:00.000,VIGENTE,REDE DE DRENAGEM DE ÁGUAS PLUVIAIS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-01-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,URBANISMO,22/2017,33146648000120,CONCREMAT ENGENHARIA E TECNOLOGIA SA,EMPRESA PÚBLICA,599856.0,554866.8,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-03-01T00:00:00.000,VIGENTE,MACRODRENAGEM – CANAIS E RIOS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,MENDES,PREFEITURA MENDES,CULTURA,003/2016,17213210000160,MDM Construções e Locações de Equipamentos Eirele - EPP,PREFEITURA,658344.22,618900.93,ACIMA DE 2 ANOS,"CASO FORTUITO OU FORÇA MAIOR, PENDÊNCIAS COM CONCESSIONÁRIAS DE ENERGIA, ÁGUA E ESGOTO, GÁS, TELEFONE OU SIMILARES",2016-03-01T00:00:00.000,PRAZO EXPIRADO,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,SAO GONCALO,PREFEITURA SÃO GONÇALO,DESPORTO E LAZER,017/2015,00375755000170,FOX ENGENHARIA LTDA,PREFEITURA,1872748.79,1061782.4,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2015-07-01T00:00:00.000,PRAZO EXPIRADO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-04-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,URBANISMO,33/2018,42418533000138,SOPE - SOCIEDADE DE OBRAS E PROJETOS DE ENGENHARIA LTDA,EMPRESA PÚBLICA,3012509.06,2409599.99,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-05-01T00:00:00.000,VIGENTE,PREVENÇÃO EM ÁREAS DE RISCO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-05-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,ADMINISTRAÇÃO,81/2018,16740985000121,R R CONSTRUÇÕES E REFORMA DE EDIFÍCIOS LTDA,EMPRESA PÚBLICA,482466.31,127084.12,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-10-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-01-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,SAÚDE,102/2018,29416658000160,KF ENGENHARIA LTDA,EMPRESA PÚBLICA,1650991.13,92912.84,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-11-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-08-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,DESPORTO E LAZER,27/2019,02302573000103,FTJ ENGENHARIA LTDA ME,EMPRESA PÚBLICA,106505.69,78002.48,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2019-05-01T00:00:00.000,VIGENTE,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-01-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,TRANSPORTE,114/2018,07026132000212,BRASTEINER 2000 COMÉRCIO E LOCAÇÃO DE CONTÊINERES LTDA,EMPRESA PÚBLICA,135000.0,45000.0,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-12-01T00:00:00.000,VIGENTE,MOBILIDADE URBANA – TERMINAIS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-05-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,URBANISMO,101/2018,08721828000140,TGI CONSTRUÇÕES E SERVIÇOS LTDA EPP,EMPRESA PÚBLICA,291920.62,290402.27,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-12-01T00:00:00.000,VIGENTE,PREVENÇÃO EM ÁREAS DE RISCO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,URBANISMO,113/2018,23649800000133,EDIFIX MANUTENÇÃO CIVIL E CONSERVAÇÃO EIRELI ME,EMPRESA PÚBLICA,149174.09,0.01,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2019-02-01T00:00:00.000,VIGENTE,PREVENÇÃO EM ÁREAS DE RISCO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,RIO DAS OSTRAS,PREFEITURA RIO DAS OSTRAS,EDUCAÇÃO,24/16,18480800000112,AL Raposo Engenharia e Manutenção Ltda,PREFEITURA,763403.78,441318.14,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2016-08-01T00:00:00.000,PRAZO EXPIRADO,EDUCAÇÃO – QUADRAS EM UNIDADES DE ENSINO,PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-08-01T00:00:00.000,Municipal,PINHEIRAL,PREFEITURA PINHEIRAL,GESTÃO AMBIENTAL,04/2014,29001559000118,D.A.S. Engenharia LTDA,PREFEITURA,6969827.58,4282833.72,ACIMA DE 2 ANOS,OUTRO,2014-07-01T00:00:00.000,VIGENTE,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",CONVÊNIO ESTADUAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-08-01T00:00:00.000,Municipal,NITEROI,EMPRESA INFRA E OBRAS DE NITEROI - ION,EDUCAÇÃO,25/2014,31548811000155,VETORIAL SERVIÇOS TÉCNICOS LTDA,EMPRESA PÚBLICA,2611294.78,2371032.98,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2014-06-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-08-01T00:00:00.000,Municipal,ITABORAI,PREFEITURA ITABORAI,SAÚDE,20/2017,09562818000172,INTERGLOBAL CONSTRUÇÕES E PROJETOS LTDA-ME,PREFEITURA,2746000.0,0.01,ACIMA DE 2 ANOS,OUTRO,2018-06-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,ITALVA,PREFEITURA ITALVA,ADMINISTRAÇÃO,11/2018,07813183000103,MCR MANUTENÇÃO CONSTRUÇÃO E REFORMA EIRELI,PREFEITURA,578467.25,0.01,ACIMA DE 2 ANOS,DESCUMPRIMENTO DE ESPECIFICAÇÕES TÉCNICAS E PRAZOS,2018-07-01T00:00:00.000,RESCINDIDO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-04-01T00:00:00.000,Municipal,TRES RIOS,PREFEITURA TRES RIOS,URBANISMO,103/2013,01631152000155,Prosa Engenharia Eireli,PREFEITURA,2985213.26,2108323.63,ACIMA DE 2 ANOS,"REPASSE DE CONVÊNIOS - ATRASO, IRREGULARIDADES NOS PREÇOS E SERVIÇOS CONTRATADOS",2013-06-01T00:00:00.000,RESCINDIDO,"EQUIPAMENTOS URBANOS (PRAÇAS, QUADRAS E SIMILARES)",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,IGUABA GRANDE,PREFEITURA IGUABA GRANDE,URBANISMO,024/2016,20829020000187,Dracma Construtora e Empreendimentos EIRELE - EPP,PREFEITURA,669066.81,317010.87,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2016-11-01T00:00:00.000,RESCINDIDO,INFRAESTRUTURA URBANA – URBANIZAÇÃO,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,CASIMIRO DE ABREU,FUNDO MUN SAUDE CASIMIRO DE ABREU,SAÚDE,74/2016,05021736000160,Rosti Empreendimentos,FUNDO,1100734.4,1083444.85,ACIMA DE 2 ANOS,OUTRO,2017-03-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-05-01T00:00:00.000,Municipal,CASIMIRO DE ABREU,PREFEITURA CASIMIRO DE ABREU,SANEAMENTO,185/2015,03638457000114,Onix Serviços Ltda,PREFEITURA,7725175.25,6124288.5,ACIMA DE 2 ANOS,OUTRO,2016-06-01T00:00:00.000,VIGENTE,"ESGOTAMENTO SANITÁRIO – REDE COLETORA, ESTAÇÕES DE TRATAMENTO E SIMILARES",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-02-01T00:00:00.000,Municipal,CASIMIRO DE ABREU,PREFEITURA CASIMIRO DE ABREU,EDUCAÇÃO,182/2018,10801139000198,CONFIA COMÉRCIO E SERVIÇOS LTDA ME,PREFEITURA,375398.6,174550.45,ACIMA DE 2 ANOS,OUTRO,2018-09-01T00:00:00.000,VIGENTE,EDUCAÇÃO – QUADRAS EM UNIDADES DE ENSINO,CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-05-01T00:00:00.000,Municipal,CASIMIRO DE ABREU,PREFEITURA CASIMIRO DE ABREU,HABITAÇÃO,036/2019,05021736000160,ROSTI EMPREENDIMENTOS LTDA ME,PREFEITURA,478920.22,69975.24,ACIMA DE 2 ANOS,OUTRO,2019-04-01T00:00:00.000,VIGENTE,HABITAÇÃO,CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-08-01T00:00:00.000,Municipal,CASIMIRO DE ABREU,PREFEITURA CASIMIRO DE ABREU,URBANISMO,061/2019,02706210000125,Heringer EIRELI,PREFEITURA,386382.54,273497.56,ACIMA DE 2 ANOS,OUTRO,2019-05-01T00:00:00.000,VIGENTE,REDE DE DRENAGEM DE ÁGUAS PLUVIAIS,PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-07-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,URBANISMO,52/25/2018,20490613000161,ENGERIO CONSTRUÇÕES E SERVIÇOS LTDA - ME,PREFEITURA,1267547.46,632486.31,ACIMA DE 2 ANOS,CASO FORTUITO OU FORÇA MAIOR,2018-05-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-07-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,URBANISMO,52/22/2018,20490613000161,ENGERIO CONSTRUÇÕES E SERVIÇOS LTDA - ME,PREFEITURA,1483175.54,715336.7,ACIMA DE 2 ANOS,OUTRO,2018-05-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-07-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,URBANISMO,001/SMO/19,27009252000138,GUARÁ COMERCIO E SERVIÇOS DE TERRAPLANAGENS E CONS,PREFEITURA,413062.31,167808.17,ACIMA DE 2 ANOS,OUTRO,2019-02-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-07-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,URBANISMO,003/SMO/19,27009252000138,GUARÁ COMERCIO E SERVIÇOS DE TERRAPLANAGENS E CONS,PREFEITURA,1230153.52,17641.86,ACIMA DE 2 ANOS,OUTRO,2019-02-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-07-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,ADMINISTRAÇÃO,52/059/18,01738526000136,SALUTAR EMPREENDIMENTOS E CONSTRUÇÕES - EIRELI - E,PREFEITURA,3716570.55,532779.06,ACIMA DE 2 ANOS,OUTRO,2019-02-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-02-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,EDUCAÇÃO,02/003/18,13538564000124,PENTAGONO 2011 CONSTRUCOES EIRELI,PREFEITURA,1161208.26,796415.16,ACIMA DE 2 ANOS,OUTRO,2018-05-01T00:00:00.000,VIGENTE,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-02-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,SAÚDE,08/024/18,13538564000124,PENTAGONO 2011 CONSTRUCOES EIRELI,PREFEITURA,1227907.93,993460.93,ACIMA DE 2 ANOS,OUTRO,2018-05-01T00:00:00.000,VIGENTE,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,EDUCAÇÃO,02/002/18,13538564000124,PENTAGONO 2011 CONSTRUCOES EIRELI,PREFEITURA,1420227.31,1221818.17,ACIMA DE 2 ANOS,OUTRO,2018-05-01T00:00:00.000,VIGENTE,EDIFICAÇÕES ADMINISTRATIVAS DIVERSAS,CONVÊNIO FEDERAL,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-03-01T00:00:00.000,Municipal,BELFORD ROXO,PREFEITURA BELFORD ROXO,SAÚDE,02/002s/18,13538564000124,PENTAGONO 2011 CONSTRUCOES EIRELI,PREFEITURA,603145.84,553109.07,ACIMA DE 2 ANOS,OUTRO,2018-05-01T00:00:00.000,VIGENTE,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-09-01T00:00:00.000,Municipal,CAMPOS DOS GOYTACAZES,FUNDO MUN SAUDE CAMPOS DOS GOYTACAZES,SAÚDE,065/2013,29794377000141,Gecoplan Engenharia Ltda,FUNDO,1481618.2,778225.09,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2013-07-01T00:00:00.000,PRAZO EXPIRADO,"SAÚDE (HOSPITAIS, POSTOS DE SAÚDE, UBS, CAPS E SIMILARES)",PRÓPRIO DO ENTE,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-11-01T00:00:00.000,Municipal,PINHEIRAL,PREFEITURA PINHEIRAL,EDUCAÇÃO,076/2016,04595063000199,CONTATTO ENGENHARIA E CONSTRUÇÕES EIRELI - EPP,PREFEITURA,1506670.89,609490.44,ACIMA DE 2 ANOS,REPASSE DE CONVÊNIOS - ATRASO,2017-01-31T00:00:00.000,PRAZO EXPIRADO,"EDUCAÇÃO – UNIVERSIDADES, FACULDADES, ESCOLAS E SIMILARES",CONVÊNIO FEDERAL,OUTRO,2026-06-04T00:30:44.000,obras_paralisadas
2019,2019-06-01T00:00:00.000,Municipal,NITEROI,PREFEITURA NITEROI,URBANISMO,079/2018,05499944000179,COOPERATIVA DOS EMPREENDEDORES EM AÇÕES CULTURAIS HISTÓRIA E MEMÓRIA - COOPERATIVA CULTURA LTDA,PREFEITURA,537829.77,426126.68,ACIMA DE 2 ANOS,FATORES VINCULADOS À GESTÃO/ADMINISTRATIVOS,2018-08-01T00:00:00.000,VIGENTE,INFRAESTRUTURA URBANA – URBANIZAÇÃO,PRÓPRIO DO ENTE,DETERMINADA PELO GESTOR RESPONSÁVEL,2026-06-04T00:30:44.000,obras_paralisadas
